XWALK_CRSE_NUMBER_PK|SRS_SUBJ_CODE|SRS_COURSE_NUMBER|SRS_COURSE_ID|NGSS_SUBJECT|NGSS_COURSE_NUMBER|NGSS_COURSE_ID|SRS_TOPICS_IND|CONV_TOPICS_IND|CONV_TITLE|CONV_LONG_TITLE|DATA_ORIGIN|CREATED_ON_DATE
CPLN641CPLN6410|CPLN|641|CPLN641|CPLN|6410|CPLN6410|||||MFREP|1/23/2022 8:00:56 PM
CPLN642CPLN6420|CPLN|642|CPLN642|CPLN|6420|CPLN6420|||||MFREP|1/23/2022 8:00:56 PM
CPLN643ARCH7620|CPLN|643|CPLN643|ARCH|7620|ARCH7620|||||RENUMBER|1/23/2022 8:00:56 PM
CPLN643CPLN6430|CPLN|643|CPLN643|CPLN|6430|CPLN6430|||||RENUMBER|1/23/2022 8:00:56 PM
CPLN644CPLN6440|CPLN|644|CPLN644|CPLN|6440|CPLN6440|||||MFREP|1/23/2022 8:00:56 PM
CPLN650CPLN6500|CPLN|650|CPLN650|CPLN|6500|CPLN6500|||||RENUMBER|1/23/2022 8:00:56 PM
CPLN650ESE5480|CPLN|650|CPLN650|ESE|5480|ESE5480|||||RENUMBER|1/23/2022 8:00:56 PM
CPLN652CPLN6520|CPLN|652|CPLN652|CPLN|6520|CPLN6520|||||MFREP|1/23/2022 8:00:56 PM
CPLN653CPLN6530|CPLN|653|CPLN653|CPLN|6530|CPLN6530|||||MFREP|1/23/2022 8:00:56 PM
CPLN654CPLN6540|CPLN|654|CPLN654|CPLN|6540|CPLN6540|||||MFREP|1/23/2022 8:00:56 PM
CPLN655CPLN6550|CPLN|655|CPLN655|CPLN|6550|CPLN6550|||||MFREP|1/23/2022 8:00:56 PM
CPLN656CPLN6560|CPLN|656|CPLN656|CPLN|6560|CPLN6560|||||MFREP|1/23/2022 8:00:56 PM
CPLN660CPLN6600|CPLN|660|CPLN660|CPLN|6600|CPLN6600|||||RENUMBER|1/23/2022 8:00:56 PM
CPLN660LARP6600|CPLN|660|CPLN660|LARP|6600|LARP6600|||||RENUMBER|1/23/2022 8:00:56 PM
CPLN665CPLN6650|CPLN|665|CPLN665|CPLN|6650|CPLN6650|||||MFREP|1/23/2022 8:00:56 PM
CPLN675CPLN6750|CPLN|675|CPLN675|CPLN|6750|CPLN6750|||||MFREP|1/23/2022 8:00:56 PM
CPLN676CPLN6760|CPLN|676|CPLN676|CPLN|6760|CPLN6760|||||MFREP|1/23/2022 8:00:56 PM
CPLN678CPLN6780|CPLN|678|CPLN678|CPLN|6780|CPLN6780|||||MFREP|1/23/2022 8:00:56 PM
CPLN679CPLN6790|CPLN|679|CPLN679|CPLN|6790|CPLN6790|||||MFREP|1/23/2022 8:00:56 PM
CPLN685LARP6850|CPLN|685|CPLN685|LARP|6850|LARP6850|||||RENUMBER|1/23/2022 8:00:56 PM
CPLN685ARCH6850|CPLN|685|CPLN685|ARCH|6850|ARCH6850|||||RENUMBER|1/23/2022 8:00:56 PM
CPLN685CPLN6850|CPLN|685|CPLN685|CPLN|6850|CPLN6850|||||RENUMBER|1/23/2022 8:00:56 PM
CPLN692CPLN6920|CPLN|692|CPLN692|CPLN|6920|CPLN6920|||||RENUMBER|1/23/2022 8:00:56 PM
CPLN692MUSA6110|CPLN|692|CPLN692|MUSA|6110|MUSA6110|||||RENUMBER|1/23/2022 8:00:56 PM
CPLN701CPLN7010|CPLN|701|CPLN701|CPLN|7010|CPLN7010|||||MFREP|1/23/2022 8:00:56 PM
CPLN702CPLN7020|CPLN|702|CPLN702|CPLN|7020|CPLN7020|||||MFREP|1/23/2022 8:00:56 PM
CPLN703CPLN7030|CPLN|703|CPLN703|CPLN|7030|CPLN7030|||||MFREP|1/23/2022 8:00:56 PM
CPLN704CPLN7040|CPLN|704|CPLN704|CPLN|7040|CPLN7040|||||MFREP|1/23/2022 8:00:56 PM
CPLN705CPLN7050|CPLN|705|CPLN705|CPLN|7050|CPLN7050|||||MFREP|1/23/2022 8:00:56 PM
CPLN706CPLN7060|CPLN|706|CPLN706|CPLN|7060|CPLN7060|||||MFREP|1/23/2022 8:00:56 PM
CPLN707CPLN7070|CPLN|707|CPLN707|CPLN|7070|CPLN7070|||||MFREP|1/23/2022 8:00:56 PM
CPLN708CPLN7080|CPLN|708|CPLN708|CPLN|7080|CPLN7080|||||MFREP|1/23/2022 8:00:56 PM
CPLN709CPLN7090|CPLN|709|CPLN709|CPLN|7090|CPLN7090|||||MFREP|1/23/2022 8:00:56 PM
CPLN720CPLN7200|CPLN|720|CPLN720|CPLN|7200|CPLN7200|||||MFREP|1/23/2022 8:00:56 PM
CPLN730CPLN7300|CPLN|730|CPLN730|CPLN|7300|CPLN7300|||||MFREP|1/23/2022 8:00:56 PM
CPLN750CPLN7500|CPLN|750|CPLN750|CPLN|7500|CPLN7500|||||RENUMBER|1/23/2022 8:00:56 PM
CPLN750ESE5500|CPLN|750|CPLN750|ESE|5500|ESE5500|||||RENUMBER|1/23/2022 8:00:56 PM
CPLN760CPLN7600|CPLN|760|CPLN760|CPLN|7600|CPLN7600|||||MFREP|1/23/2022 8:00:56 PM
CPLN784CPLN7840|CPLN|784|CPLN784|CPLN|7840|CPLN7840|||||MFREP|1/23/2022 8:00:56 PM
CPLN791CPLN7910|CPLN|791|CPLN791|CPLN|7910|CPLN7910|||||MFREP|1/23/2022 8:00:56 PM
CPLN792CPLN7920|CPLN|792|CPLN792|CPLN|7920|CPLN7920|||||MFREP|1/23/2022 8:00:56 PM
CPLN793CPLN7930|CPLN|793|CPLN793|CPLN|7930|CPLN7930|||||MFREP|1/23/2022 8:00:56 PM
CPLN794CPLN7940|CPLN|794|CPLN794|CPLN|7940|CPLN7940|||||MFREP|1/23/2022 8:00:56 PM
CPLN795CPLN7950|CPLN|795|CPLN795|CPLN|7950|CPLN7950|||||MFREP|1/23/2022 8:00:56 PM
CPLN797CPLN7970|CPLN|797|CPLN797|CPLN|7970|CPLN7970|||||MFREP|1/23/2022 8:00:56 PM
CPLN798CPLN7980|CPLN|798|CPLN798|CPLN|7980|CPLN7980|||||MFREP|1/23/2022 8:00:56 PM
CPLN799CPLN7990|CPLN|799|CPLN799|CPLN|7990|CPLN7990|||||MFREP|1/23/2022 8:00:56 PM
CPLN800CPLN8000|CPLN|800|CPLN800|CPLN|8000|CPLN8000|||||MFREP|1/23/2022 8:00:56 PM
CPLN990CPLN9900|CPLN|990|CPLN990|CPLN|9900|CPLN9900|||||MFREP|1/23/2022 8:00:56 PM
CPLN995CPLN9950|CPLN|995|CPLN995|CPLN|9950|CPLN9950|||||MFREP|1/23/2022 8:00:56 PM
CPLN999CPLN9990|CPLN|999|CPLN999|CPLN|9990|CPLN9990|||||MFREP|1/23/2022 8:00:56 PM
CRIM100SOCI2920|CRIM|100|CRIM100|SOCI|2920|SOCI2920|||Criminology|Criminology|RENUMBER|1/23/2022 8:00:56 PM
CRIM100CRIM1000|CRIM|100|CRIM100|CRIM|1000|CRIM1000|||Criminology|Criminology|RENUMBER|1/23/2022 8:00:56 PM
CRIM200SOCI2921|CRIM|200|CRIM200|SOCI|2921|SOCI2921|||Criminal Justice|Criminal Justice|RENUMBER|1/23/2022 8:00:56 PM
CRIM200CRIM1100|CRIM|200|CRIM200|CRIM|1100|CRIM1100|||Criminal Justice|Criminal Justice|RENUMBER|1/23/2022 8:00:56 PM
CRIM240CRIM2040|CRIM|240|CRIM240|CRIM|2040|CRIM2040|||FORENSIC ANALYSIS|Forensic Analysis|RENUMBER|1/23/2022 8:00:56 PM
CRIM250CRIM1200|CRIM|250|CRIM250|CRIM|1200|CRIM1200|||Stat for the Social Sci.|Statistics for the Social Sciences I|RENUMBER|1/23/2022 8:00:56 PM
CRIM251CRIM1201|CRIM|251|CRIM251|CRIM|1201|CRIM1201|||Stat for the Soc Sci II|Statistics for the Social Sciences II|RENUMBER|1/23/2022 8:00:56 PM
CRIM260CRIM2060|CRIM|260|CRIM260|CRIM|2060|CRIM2060|||Crime & Human Developmnt|Crime and Human Development|RENUMBER|1/23/2022 8:00:56 PM
CRIM270CRIM2070|CRIM|270|CRIM270|CRIM|2070|CRIM2070|||Biopsychosocial Crim|Biopsychosocial Criminology|RENUMBER|1/23/2022 8:00:56 PM
CRIM280URBS2090|CRIM|280|CRIM280|URBS|2090|URBS2090|||Neighbrhd Dyn. of Crime|Neighborhood Dynamics of Crime|RENUMBER|1/23/2022 8:00:56 PM
CRIM280CRIM2080|CRIM|280|CRIM280|CRIM|2080|CRIM2080|||Neighbrhd Dyn. of Crime|Neighborhood Dynamics of Crime|RENUMBER|1/23/2022 8:00:56 PM
CRIM290CRIM2090|CRIM|290|CRIM290|CRIM|2090|CRIM2090|||Wrongful Convictions|Wrongful Convictions|RENUMBER|1/23/2022 8:00:56 PM
CRIM298CRIM2982|CRIM|298|CRIM298|CRIM|2982|CRIM2982|||Study Abroad|Study Abroad|RENUMBER|1/23/2022 8:00:56 PM
CRIM300CRIM2030|CRIM|300|CRIM300|CRIM|2030|CRIM2030|||Law and Criminal Justice|Law and Criminal Justice|RENUMBER|1/23/2022 8:00:56 PM
CRIM315CRIM2010|CRIM|315|CRIM315|CRIM|2010|CRIM2010|||Am Death Pen. Thry & Pra|American Death Penalty in Theory and Practice|RENUMBER|1/23/2022 8:00:56 PM
CRIM402CRIM4002|CRIM|402|CRIM402|CRIM|4002|CRIM4002|||Data Analytics in R|Criminal Justice Data Analytics|RENUMBER|1/23/2022 8:00:56 PM
CRIM410CRIM4000|CRIM|410|CRIM410|CRIM|4000|CRIM4000|||Rsch Sem in Exp Cr & Jus|Research Seminar in Experiments in Crime and Justice|RENUMBER|1/23/2022 8:00:56 PM
CRIM450CRIM4001|CRIM|450|CRIM450|CRIM|4001|CRIM4001|||Senior Research Thesis|Senior Research Thesis|RENUMBER|1/23/2022 8:00:56 PM
CRIM499CRIM4999|CRIM|499|CRIM499|CRIM|4999|CRIM4999|||Independent Study|Independent Study|RENUMBER|1/23/2022 8:00:56 PM
CRIM535CRIM5000|CRIM|535|CRIM535|CRIM|5000|CRIM5000|||Intro Stat for Policy|Introduction to Quantitative Methods for Policy Analysis|RENUMBER|1/23/2022 8:00:56 PM
CRIM600CRIM6000|CRIM|600|CRIM600|CRIM|6000|CRIM6000|||Pro-Sem in Criminology|Pro-Seminar in Criminology|RENUMBER|1/23/2022 8:00:56 PM
CRIM601CRIM6001|CRIM|601|CRIM601|CRIM|6001|CRIM6001|||Pro-Sem in Crim Justice|Pro-Seminar in Criminal Justice|RENUMBER|1/23/2022 8:00:56 PM
CRIM602CRIM6002|CRIM|602|CRIM602|CRIM|6002|CRIM6002|||Data Analytics in R|Criminal Justice Data Analytics|RENUMBER|1/23/2022 8:00:56 PM
CRIM603CRIM6003|CRIM|603|CRIM603|CRIM|6003|CRIM6003|||Res Meth/Crime Analysis|Research Methods/Crime Analysis|RENUMBER|1/23/2022 8:00:56 PM
CRIM604CRIM6004|CRIM|604|CRIM604|CRIM|6004|CRIM6004|||Criminology in Practice|Criminology in Practice|RENUMBER|1/23/2022 8:00:56 PM
CRIM634CRIM6005|CRIM|634|CRIM634|CRIM|6005|CRIM6005|||Evidence-Based Crim Prev|Evidence-Based Crime Prevention|RENUMBER|1/23/2022 8:00:56 PM
CRIM671CRIM6710|CRIM|671|CRIM671|CRIM|6710|CRIM6710|||Violence: Clin Neuro App|Violence: A Clinical Neuroscience Approach|RENUMBER|1/23/2022 8:00:56 PM
CRIM700CRIM7000|CRIM|700|CRIM700|CRIM|7000|CRIM7000|||Advanced Prosem in Crim|Advanced Pro-Seminar in Criminology|RENUMBER|1/23/2022 8:00:56 PM
CRIM701CRIM7100|CRIM|701|CRIM701|CRIM|7100|CRIM7100|||Adv Prosem in Crim II|Advanced Pro-Seminar in Criminal Justice|RENUMBER|1/23/2022 8:00:56 PM
CRIM702CRIM7200|CRIM|702|CRIM702|CRIM|7200|CRIM7200|||MATH STAT FOR CRIM|Mathematical Statistics for Criminology|RENUMBER|1/23/2022 8:00:56 PM
CRIM990CRIM9900|CRIM|990|CRIM990|CRIM|9900|CRIM9900|||Masters Reg Tuition|Masters Reg Tuition|RENUMBER|1/23/2022 8:00:56 PM
CRIM995CRIM9950|CRIM|995|CRIM995|CRIM|9950|CRIM9950|||Dissertation|Dissertation|RENUMBER|1/23/2022 8:00:56 PM
CRIM999CRIM9999|CRIM|999|CRIM999|CRIM|9999|CRIM9999|||Independent Study|Independent Study and Research|RENUMBER|1/23/2022 8:00:56 PM
CRWR101CRWR1010|CRWR|101|CRWR101|CRWR|1010|CRWR1010|||||MFREP|1/23/2022 8:00:56 PM
CRWR160CRWR1600|CRWR|160|CRWR160|CRWR|1600|CRWR1600|||||RENUMBER|1/23/2022 8:00:56 PM
CRWR160ENLT1600|CRWR|160|CRWR160|ENLT|1600|ENLT1600|||||RENUMBER|1/23/2022 8:00:56 PM
CRWR201CRWR2010|CRWR|201|CRWR201|CRWR|2010|CRWR2010|||||MFREP|1/23/2022 8:00:56 PM
CRWR240CRWR2400|CRWR|240|CRWR240|CRWR|2400|CRWR2400|||||MFREP|1/23/2022 8:00:56 PM
CRWR260CRWR2600|CRWR|260|CRWR260|CRWR|2600|CRWR2600|||||MFREP|1/23/2022 8:00:56 PM
CRWR300CRWR3000|CRWR|300|CRWR300|CRWR|3000|CRWR3000|||||MFREP|1/23/2022 8:00:56 PM
CRWR320CRWR3200|CRWR|320|CRWR320|CRWR|3200|CRWR3200|||||MFREP|1/23/2022 8:00:56 PM
CRWR360CRWR3600|CRWR|360|CRWR360|CRWR|3600|CRWR3600|||||MFREP|1/23/2022 8:00:56 PM
CRWR370CRWR3700|CRWR|370|CRWR370|CRWR|3700|CRWR3700|||||MFREP|1/23/2022 8:00:56 PM
CZCH110CZCH0010|CZCH|110|CZCH110|CZCH|0010|CZCH0010|||Czech Through Film|Czech Through Film|RENUMBER|1/23/2022 8:00:56 PM
CZCH120CZCH0120|CZCH|120|CZCH120|CZCH|0120|CZCH0120|||Czech - Short Stories|Czech through Short Stories|RENUMBER|1/23/2022 8:00:56 PM
CZCH530CZCH0100|CZCH|530|CZCH530|CZCH|0100|CZCH0100|||Czech I|Czech I|RENUMBER|1/23/2022 8:00:56 PM
CZCH531CZCH0200|CZCH|531|CZCH531|CZCH|0200|CZCH0200|||Czech II|Czech II|RENUMBER|1/23/2022 8:00:56 PM
CZCH532CZCH0300|CZCH|532|CZCH532|CZCH|0300|CZCH0300|||Czech III|Czech III|RENUMBER|1/23/2022 8:00:56 PM
CZCH533CZCH0400|CZCH|533|CZCH533|CZCH|0400|CZCH0400|||Czech IV|Czech IV|RENUMBER|1/23/2022 8:00:56 PM
DADE901DADE9010|DADE|901|DADE901|DADE|9010|DADE9010|||||MFREP|1/23/2022 8:00:56 PM
DADE903DADE9030|DADE|903|DADE903|DADE|9030|DADE9030|||||MFREP|1/23/2022 8:00:56 PM
DADE910DADE9100|DADE|910|DADE910|DADE|9100|DADE9100|||||MFREP|1/23/2022 8:00:56 PM
DADE911DADE9110|DADE|911|DADE911|DADE|9110|DADE9110|||||MFREP|1/23/2022 8:00:56 PM
DADE912DADE9120|DADE|912|DADE912|DADE|9120|DADE9120|||||MFREP|1/23/2022 8:00:56 PM
DADE914DADE9140|DADE|914|DADE914|DADE|9140|DADE9140|||||MFREP|1/23/2022 8:00:56 PM
DADE915DADE9150|DADE|915|DADE915|DADE|9150|DADE9150|||||MFREP|1/23/2022 8:00:56 PM
DADE916DADE9160|DADE|916|DADE916|DADE|9160|DADE9160|||||MFREP|1/23/2022 8:00:56 PM
DADE917DADE9170|DADE|917|DADE917|DADE|9170|DADE9170|||||MFREP|1/23/2022 8:00:56 PM
DADE918DADE9180|DADE|918|DADE918|DADE|9180|DADE9180|||||MFREP|1/23/2022 8:00:56 PM
DADE919DADE9190|DADE|919|DADE919|DADE|9190|DADE9190|||||MFREP|1/23/2022 8:00:56 PM
DADE920DADE9200|DADE|920|DADE920|DADE|9200|DADE9200|||||MFREP|1/23/2022 8:00:56 PM
DADE921DADE9210|DADE|921|DADE921|DADE|9210|DADE9210|||||MFREP|1/23/2022 8:00:56 PM
DADE922DADE9220|DADE|922|DADE922|DADE|9220|DADE9220|||||MFREP|1/23/2022 8:00:56 PM
DADE923DADE9230|DADE|923|DADE923|DADE|9230|DADE9230|||||MFREP|1/23/2022 8:00:56 PM
DADE924DADE9240|DADE|924|DADE924|DADE|9240|DADE9240|||||MFREP|1/23/2022 8:00:56 PM
DADE925DADE9250|DADE|925|DADE925|DADE|9250|DADE9250|||||MFREP|1/23/2022 8:00:56 PM
DADE926DADE9260|DADE|926|DADE926|DADE|9260|DADE9260|||||MFREP|1/23/2022 8:00:56 PM
DADE927DADE9270|DADE|927|DADE927|DADE|9270|DADE9270|||||MFREP|1/23/2022 8:00:56 PM
DADE928DADE9280|DADE|928|DADE928|DADE|9280|DADE9280|||||MFREP|1/23/2022 8:00:56 PM
DADE929DADE9290|DADE|929|DADE929|DADE|9290|DADE9290|||||MFREP|1/23/2022 8:00:56 PM
DADE930DADE9300|DADE|930|DADE930|DADE|9300|DADE9300|||||MFREP|1/23/2022 8:00:56 PM
DADE931DADE9310|DADE|931|DADE931|DADE|9310|DADE9310|||||MFREP|1/23/2022 8:00:56 PM
DADE932DADE9320|DADE|932|DADE932|DADE|9320|DADE9320|||||MFREP|1/23/2022 8:00:56 PM
DADE990DADE9900|DADE|990|DADE990|DADE|9900|DADE9900|||||MFREP|1/23/2022 8:00:56 PM
DADE991DADE9910|DADE|991|DADE991|DADE|9910|DADE9910|||||MFREP|1/23/2022 8:00:56 PM
DADE996DADE9960|DADE|996|DADE996|DADE|9960|DADE9960|||||MFREP|1/23/2022 8:00:56 PM
DADE997DADE9970|DADE|997|DADE997|DADE|9970|DADE9970|||||MFREP|1/23/2022 8:00:56 PM
DADE999DADE9990|DADE|999|DADE999|DADE|9990|DADE9990|||||MFREP|1/23/2022 8:00:56 PM
DATA101DATA1010|DATA|101|DATA101|DATA|1010|DATA1010|||||RENUMBER|1/23/2022 8:00:56 PM
DATA101LEAD3050|DATA|101|DATA101|LEAD|3050|LEAD3050|||||RENUMBER|1/23/2022 8:00:56 PM
DATA210DATA2100|DATA|210|DATA210|DATA|2100|DATA2100|||||MFREP|1/23/2022 8:00:56 PM
DATA310DATA3100|DATA|310|DATA310|DATA|3100|DATA3100|||||MFREP|1/23/2022 8:00:56 PM
DATA401DATA4010|DATA|401|DATA401|DATA|4010|DATA4010|||||MFREP|1/23/2022 8:00:56 PM
DATS597DATS5970|DATS|597|DATS597|DATS|5970|DATS5970|||||MFREP|1/23/2022 8:00:56 PM
DATS599DATS5990|DATS|599|DATS599|DATS|5990|DATS5990|||||MFREP|1/23/2022 8:00:56 PM
DCOH708DENT7101|DCOH|708|DCOH708|DENT|7101|DENT7101|||||RENUMBER|1/23/2022 8:00:56 PM
DCOH709DENT7102|DCOH|709|DCOH709|DENT|7102|DENT7102|||||RENUMBER|1/23/2022 8:00:56 PM
DCOH712DENT7122|DCOH|712|DCOH712|DENT|7122|DENT7122|||||RENUMBER|1/23/2022 8:00:56 PM
DCOH785DCOH7850|DCOH|785|DCOH785|DCOH|7850|DCOH7850|||||MFREP|1/23/2022 8:00:56 PM
DCOH808DENT8101|DCOH|808|DCOH808|DENT|8101|DENT8101|||||RENUMBER|1/23/2022 8:00:56 PM
DCOH809DENT8102|DCOH|809|DCOH809|DENT|8102|DENT8102|||||RENUMBER|1/23/2022 8:00:56 PM
DCOH812DENT8121|DCOH|812|DCOH812|DENT|8121|DENT8121|||||RENUMBER|1/23/2022 8:00:56 PM
DCOH885DCOH8850|DCOH|885|DCOH885|DCOH|8850|DCOH8850|||||MFREP|1/23/2022 8:00:56 PM
DEMG899DEMG8999|DEMG|899|DEMG899|DEMG|8999|DEMG8999|||Dissertation Proposal|Dissertation Proposal|RENUMBER|1/23/2022 8:00:56 PM
DEMG990DEMG9900|DEMG|990|DEMG990|DEMG|9900|DEMG9900|||Masters Thesis|Masters Thesis|RENUMBER|1/23/2022 8:00:56 PM
DEMG995DEMG9950|DEMG|995|DEMG995|DEMG|9950|DEMG9950|||Dissertation|Dissertation|RENUMBER|1/23/2022 8:00:56 PM
DEMG999DEMG9999|DEMG|999|DEMG999|DEMG|9999|DEMG9999|||Independent Study|Independent Study|RENUMBER|1/23/2022 8:00:56 PM
DEND756DENT7201|DEND|756|DEND756|DENT|7201|DENT7201|||||RENUMBER|1/23/2022 8:00:56 PM
DEND757DENT7202|DEND|757|DEND757|DENT|7202|DENT7202|||||RENUMBER|1/23/2022 8:00:56 PM
DEND856DENT8201|DEND|856|DEND856|DENT|8201|DENT8201|||||RENUMBER|1/23/2022 8:00:56 PM
DEND857DENT8202|DEND|857|DEND857|DENT|8202|DENT8202|||||RENUMBER|1/23/2022 8:00:56 PM
DEND857DENT8200|DEND|857|DEND857|DENT|8200|DENT8200|||||RENUMBER|1/23/2022 8:00:56 PM
DENT401DENT4010|DENT|401|DENT401|DENT|4010|DENT4010|||||MFREP|1/23/2022 8:00:56 PM
DENT500DENT5001|DENT|500|DENT500|DENT|5001|DENT5001|||||RENUMBER|1/23/2022 8:00:56 PM
DENT502DENT5011|DENT|502|DENT502|DENT|5011|DENT5011|||||RENUMBER|1/23/2022 8:00:56 PM
DENT504DENT5022|DENT|504|DENT504|DENT|5022|DENT5022|||||RENUMBER|1/23/2022 8:00:56 PM
DENT506DENT5032|DENT|506|DENT506|DENT|5032|DENT5032|||||RENUMBER|1/23/2022 8:00:56 PM
DENT510DENT5051|DENT|510|DENT510|DENT|5051|DENT5051|||||RENUMBER|1/23/2022 8:00:56 PM
DENT512DENT5321|DENT|512|DENT512|DENT|5321|DENT5321|||||RENUMBER|1/23/2022 8:00:56 PM
DENT514DENT5062|DENT|514|DENT514|DENT|5062|DENT5062|||||RENUMBER|1/23/2022 8:00:56 PM
DENT516DENT5072|DENT|516|DENT516|DENT|5072|DENT5072|||||RENUMBER|1/23/2022 8:00:56 PM
DENT518DENT5180|DENT|518|DENT518|DENT|5180|DENT5180|||||MFREP|1/23/2022 8:00:56 PM
DENT520DENT5200|DENT|520|DENT520|DENT|5200|DENT5200|||||MFREP|1/23/2022 8:00:56 PM
DENT522DENT5220|DENT|522|DENT522|DENT|5220|DENT5220|||||MFREP|1/23/2022 8:00:56 PM
DENT530DENT5801|DENT|530|DENT530|DENT|5801|DENT5801|||||RENUMBER|1/23/2022 8:00:56 PM
DENT532DENT5821|DENT|532|DENT532|DENT|5821|DENT5821|||||RENUMBER|1/23/2022 8:00:56 PM
DENT534DENT5340|DENT|534|DENT534|DENT|5340|DENT5340|||||MFREP|1/23/2022 8:00:56 PM
DENT536DENT5862|DENT|536|DENT536|DENT|5862|DENT5862|||||RENUMBER|1/23/2022 8:00:56 PM
DENT538DENT5380|DENT|538|DENT538|DENT|5380|DENT5380|||||MFREP|1/23/2022 8:00:56 PM
DENT539DENT5882|DENT|539|DENT539|DENT|5882|DENT5882|||||RENUMBER|1/23/2022 8:00:56 PM
DENT540DENT5702|DENT|540|DENT540|DENT|5702|DENT5702|||||RENUMBER|1/23/2022 8:00:56 PM
DENT550DENT5102|DENT|550|DENT550|DENT|5102|DENT5102|||||RENUMBER|1/23/2022 8:00:56 PM
DENT552DENT5520|DENT|552|DENT552|DENT|5520|DENT5520|||||MFREP|1/23/2022 8:00:56 PM
DENT560DENT5301|DENT|560|DENT560|DENT|5301|DENT5301|||||RENUMBER|1/23/2022 8:00:56 PM
DENT562DENT5842|DENT|562|DENT562|DENT|5842|DENT5842|||||RENUMBER|1/23/2022 8:00:56 PM
DENT563DENT5841|DENT|563|DENT563|DENT|5841|DENT5841|||||RENUMBER|1/23/2022 8:00:56 PM
DENT564DENT5640|DENT|564|DENT564|DENT|5640|DENT5640|||||MFREP|1/23/2022 8:00:56 PM
DENT580DENT5800|DENT|580|DENT580|DENT|5800|DENT5800|||||MFREP|1/23/2022 8:00:56 PM
DENT599DENT5992|DENT|599|DENT599|DENT|5992|DENT5992|||||RENUMBER|1/23/2022 8:00:56 PM
DENT600DENT6401|DENT|600|DENT600|DENT|6401|DENT6401|||||RENUMBER|1/23/2022 8:00:56 PM
DENT606DENT6421|DENT|606|DENT606|DENT|6421|DENT6421|||||RENUMBER|1/23/2022 8:00:56 PM
DENT610DENT6301|DENT|610|DENT610|DENT|6301|DENT6301|||||RENUMBER|1/23/2022 8:00:56 PM
DENT611DENT6110|DENT|611|DENT611|DENT|6110|DENT6110|||||MFREP|1/23/2022 8:00:56 PM
DENT612DENT6321|DENT|612|DENT612|DENT|6321|DENT6321|||||RENUMBER|1/23/2022 8:00:56 PM
DENT614DENT6062|DENT|614|DENT614|DENT|6062|DENT6062|||||RENUMBER|1/23/2022 8:00:56 PM
DENT616DENT6160|DENT|616|DENT616|DENT|6160|DENT6160|||||MFREP|1/23/2022 8:00:56 PM
DENT620DENT6342|DENT|620|DENT620|DENT|6342|DENT6342|||||RENUMBER|1/23/2022 8:00:56 PM
DENT622DENT6441|DENT|622|DENT622|DENT|6441|DENT6441|||||RENUMBER|1/23/2022 8:00:56 PM
DENT624DENT6240|DENT|624|DENT624|DENT|6240|DENT6240|||||MFREP|1/23/2022 8:00:56 PM
DENT628DENT6280|DENT|628|DENT628|DENT|6280|DENT6280|||||MFREP|1/23/2022 8:00:56 PM
DENT630DENT6801|DENT|630|DENT630|DENT|6801|DENT6801|||||RENUMBER|1/23/2022 8:00:56 PM
DENT631DENT6310|DENT|631|DENT631|DENT|6310|DENT6310|||||MFREP|1/23/2022 8:00:56 PM
DENT632DENT6822|DENT|632|DENT632|DENT|6822|DENT6822|||||RENUMBER|1/23/2022 8:00:56 PM
DENT633DENT6862|DENT|633|DENT633|DENT|6862|DENT6862|||||RENUMBER|1/23/2022 8:00:56 PM
DENT634DENT7800|DENT|634|DENT634|DENT|7800|DENT7800|||||RENUMBER|1/23/2022 8:00:56 PM
DENT636DENT6360|DENT|636|DENT636|DENT|6360|DENT6360|||||MFREP|1/23/2022 8:00:56 PM
DENT637DENT6370|DENT|637|DENT637|DENT|6370|DENT6370|||||MFREP|1/23/2022 8:00:56 PM
DENT640DENT6702|DENT|640|DENT640|DENT|6702|DENT6702|||||RENUMBER|1/23/2022 8:00:56 PM
DENT646DENT6460|DENT|646|DENT646|DENT|6460|DENT6460|||||MFREP|1/23/2022 8:00:56 PM
DENT650DENT6101|DENT|650|DENT650|DENT|6101|DENT6101|||||RENUMBER|1/23/2022 8:00:56 PM
DENT651DENT6102|DENT|651|DENT651|DENT|6102|DENT6102|||||RENUMBER|1/23/2022 8:00:56 PM
DENT652DENT6520|DENT|652|DENT652|DENT|6520|DENT6520|||||MFREP|1/23/2022 8:00:56 PM
DENT654DENT6162|DENT|654|DENT654|DENT|6162|DENT6162|||||RENUMBER|1/23/2022 8:00:56 PM
DENT660DENT6841|DENT|660|DENT660|DENT|6841|DENT6841|||||RENUMBER|1/23/2022 8:00:56 PM
DENT662DENT6842|DENT|662|DENT662|DENT|6842|DENT6842|||||RENUMBER|1/23/2022 8:00:56 PM
DENT664DENT6882|DENT|664|DENT664|DENT|6882|DENT6882|||||RENUMBER|1/23/2022 8:00:56 PM
DENT666DENT6660|DENT|666|DENT666|DENT|6660|DENT6660|||||MFREP|1/23/2022 8:00:56 PM
DENT670DENT6202|DENT|670|DENT670|DENT|6202|DENT6202|||||RENUMBER|1/23/2022 8:00:56 PM
DENT672DENT6222|DENT|672|DENT672|DENT|6222|DENT6222|||||RENUMBER|1/23/2022 8:00:56 PM
DENT680DENT6501|DENT|680|DENT680|DENT|6501|DENT6501|||||RENUMBER|1/23/2022 8:00:56 PM
